NodeLabel,TimeReached30from1500
1,2365.95703125
2,1423.494384765625
3,1423.494384765625
4,2365.95703125
5,1423.494384765625
6,1423.494384765625
7,2165.95703125
8,2165.95703125
9,1632.4644775390625
10,1632.4644775390625
11,2565.95703125
12,2565.95703125
13,2565.95703125
14,2565.95703125
15,1632.4644775390625
16,1632.4644775390625
17,2165.95703125
18,2365.95703125
19,2365.95703125
20,2165.95703125
21,1470.90234375
22,1470.90234375
23,1470.90234375
24,1470.90234375
25,1423.494384765625
26,1423.494384765625
27,1423.494384765625
28,1423.494384765625
29,2165.95703125
30,2065.95703125
31,1765.9569091796875
32,1765.9569091796875
33,1865.9569091796875
34,1765.9569091796875
35,1765.9569091796875
36,2065.95703125
37,2165.95703125
38,2665.95703125
39,2765.95703125
40,2665.95703125
41,1765.9569091796875
42,1965.9569091796875
43,2065.95703125
44,1765.9569091796875
45,1865.9569091796875
46,1765.9569091796875
47,2065.95703125
48,1965.9569091796875
49,1765.9569091796875
50,2465.95703125
51,2565.95703125
52,2465.95703125
53,2465.95703125
54,2565.95703125
55,2565.95703125
56,2565.95703125
57,2565.95703125
58,2465.95703125
59,1765.9569091796875
60,1865.9569091796875
61,1765.9569091796875
62,1765.9569091796875
63,1865.9569091796875
64,1765.9569091796875
65,1965.9569091796875
66,2065.95703125
67,1965.9569091796875
68,1965.9569091796875
69,2165.95703125
70,2165.95703125
71,2265.95703125
72,2265.95703125
73,2265.95703125
74,2165.95703125
75,2165.95703125
76,2165.95703125
77,2165.95703125
78,2165.95703125
79,2165.95703125
80,2165.95703125
81,2165.95703125
82,2265.95703125
83,2265.95703125
84,2365.95703125
85,2865.95703125
86,2965.95703125
87,2865.95703125
88,2365.95703125
89,2265.95703125
90,2265.95703125
91,2165.95703125
92,2165.95703125
93,2165.95703125
94,2165.95703125
95,2165.95703125
96,2165.95703125
97,2165.95703125
98,2165.95703125
99,2265.95703125
100,2265.95703125
101,2265.95703125
102,2165.95703125
103,2165.95703125
104,1965.9569091796875
105,2865.95703125
106,2965.95703125
107,2865.95703125
108,2765.95703125
109,2865.95703125
110,2765.95703125
111,2765.95703125
112,2865.95703125
113,2765.95703125
114,1965.9569091796875
115,2165.95703125
116,2165.95703125
117,2265.95703125
118,2265.95703125
119,2265.95703125
120,2165.95703125
121,2165.95703125
122,2165.95703125
123,2165.95703125
124,2165.95703125
125,2165.95703125
126,2165.95703125
127,2165.95703125
128,2165.95703125
129,2165.95703125
130,2265.95703125
131,2265.95703125
132,2365.95703125
133,2365.95703125
134,2265.95703125
135,2265.95703125
136,2165.95703125
137,2165.95703125
138,2165.95703125
139,2165.95703125
140,2165.95703125
141,2165.95703125
142,2165.95703125
143,2165.95703125
144,2165.95703125
145,2165.95703125
146,2265.95703125
147,2265.95703125
148,2265.95703125
149,2165.95703125
150,2165.95703125
151,1965.9569091796875
152,1965.9569091796875
